cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
alveolar macrophage,FACS,Kidney,32,0
alveolar macrophage,FACS,Kidney,34,0
alveolar macrophage,FACS,Kidney,39,0
alveolar macrophage,FACS,Kidney,43,0
alveolar macrophage,FACS,Kidney,44,0
alveolar macrophage,FACS,Limb_Muscle,0,0
alveolar macrophage,FACS,Limb_Muscle,4,0
alveolar macrophage,FACS,Limb_Muscle,5,0
alveolar macrophage,FACS,Limb_Muscle,6,0
alveolar macrophage,FACS,Limb_Muscle,9,0
alveolar macrophage,FACS,Limb_Muscle,10,0
alveolar macrophage,FACS,Limb_Muscle,11,0
alveolar macrophage,FACS,Limb_Muscle,14,0
alveolar macrophage,FACS,Limb_Muscle,17,0
alveolar macrophage,FACS,Limb_Muscle,18,0
alveolar macrophage,FACS,Limb_Muscle,19,0
alveolar macrophage,FACS,Limb_Muscle,20,0
alveolar macrophage,FACS,Limb_Muscle,23,0
alveolar macrophage,FACS,Limb_Muscle,24,0
alveolar macrophage,FACS,Limb_Muscle,28,0
alveolar macrophage,FACS,Limb_Muscle,31,0
alveolar macrophage,FACS,Limb_Muscle,32,0
alveolar macrophage,FACS,Limb_Muscle,34,0
alveolar macrophage,FACS,Limb_Muscle,39,0
alveolar macrophage,FACS,Limb_Muscle,43,0
alveolar macrophage,FACS,Limb_Muscle,44,0
alveolar macrophage,FACS,Lung,0,0
alveolar macrophage,FACS,Lung,4,0
alveolar macrophage,FACS,Lung,5,0
alveolar macrophage,FACS,Lung,6,0
alveolar macrophage,FACS,Lung,9,0
alveolar macrophage,FACS,Lung,10,0
alveolar macrophage,FACS,Lung,11,0
alveolar macrophage,FACS,Lung,14,0
alveolar macrophage,FACS,Lung,17,0
alveolar macrophage,FACS,Lung,18,0
alveolar macrophage,FACS,Lung,19,0
alveolar macrophage,FACS,Lung,20,0
alveolar macrophage,FACS,Lung,23,0
alveolar macrophage,FACS,Lung,24,0
alveolar macrophage,FACS,Lung,28,0
alveolar macrophage,FACS,Lung,31,0
alveolar macrophage,FACS,Lung,32,0
alveolar macrophage,FACS,Lung,34,0
alveolar macrophage,FACS,Lung,39,0
alveolar macrophage,FACS,Lung,43,0
alveolar macrophage,FACS,Lung,44,0
alveolar macrophage,FACS,Mammary_Gland,0,0
alveolar macrophage,FACS,Mammary_Gland,4,0
alveolar macrophage,FACS,Mammary_Gland,5,0
alveolar macrophage,FACS,Mammary_Gland,6,0
alveolar macrophage,FACS,Mammary_Gland,9,0
alveolar macrophage,FACS,Mammary_Gland,10,0
alveolar macrophage,FACS,Mammary_Gland,11,0
alveolar macrophage,FACS,Mammary_Gland,14,0
alveolar macrophage,FACS,Mammary_Gland,17,0
alveolar macrophage,FACS,Mammary_Gland,18,0
alveolar macrophage,FACS,Mammary_Gland,19,0
alveolar macrophage,FACS,Mammary_Gland,20,0
alveolar macrophage,FACS,Mammary_Gland,23,0
alveolar macrophage,FACS,Mammary_Gland,24,0
alveolar macrophage,FACS,Mammary_Gland,28,0
alveolar macrophage,FACS,Mammary_Gland,31,0
alveolar macrophage,FACS,Mammary_Gland,32,0
alveolar macrophage,FACS,Mammary_Gland,34,0
alveolar macrophage,FACS,Mammary_Gland,39,0
alveolar macrophage,FACS,Mammary_Gland,43,0
alveolar macrophage,FACS,Mammary_Gland,44,0
alveolar macrophage,FACS,Marrow,0,0
alveolar macrophage,FACS,Marrow,4,0
alveolar macrophage,FACS,Marrow,5,0
alveolar macrophage,FACS,Marrow,6,0
alveolar macrophage,FACS,Marrow,9,0
alveolar macrophage,FACS,Marrow,10,0
alveolar macrophage,FACS,Marrow,11,0
alveolar macrophage,FACS,Marrow,14,0
alveolar macrophage,FACS,Marrow,17,0
alveolar macrophage,FACS,Marrow,18,0
alveolar macrophage,FACS,Marrow,19,0
alveolar macrophage,FACS,Marrow,20,0
alveolar macrophage,FACS,Marrow,23,0
alveolar macrophage,FACS,Marrow,24,0
alveolar macrophage,FACS,Marrow,28,0
alveolar macrophage,FACS,Marrow,31,0
alveolar macrophage,FACS,Marrow,32,0
alveolar macrophage,FACS,Marrow,34,0
alveolar macrophage,FACS,Marrow,39,0
alveolar macrophage,FACS,Marrow,43,0
alveolar macrophage,FACS,Marrow,44,0
alveolar macrophage,FACS,Spleen,0,0
alveolar macrophage,FACS,Spleen,4,0
alveolar macrophage,FACS,Spleen,5,0
alveolar macrophage,FACS,Spleen,6,0
alveolar macrophage,FACS,Spleen,9,0
alveolar macrophage,FACS,Spleen,10,0
alveolar macrophage,FACS,Spleen,11,0
alveolar macrophage,FACS,Spleen,14,0
alveolar macrophage,FACS,Spleen,17,0
alveolar macrophage,FACS,Spleen,18,0
alveolar macrophage,FACS,Spleen,19,0
alveolar macrophage,FACS,Spleen,20,0
alveolar macrophage,FACS,Spleen,23,0
alveolar macrophage,FACS,Spleen,24,0
alveolar macrophage,FACS,Spleen,28,0
alveolar macrophage,FACS,Spleen,31,0
alveolar macrophage,FACS,Spleen,32,0
alveolar macrophage,FACS,Spleen,34,0
alveolar macrophage,FACS,Spleen,39,0
alveolar macrophage,FACS,Spleen,43,0
alveolar macrophage,FACS,Spleen,44,0
alveolar macrophage,FACS,Thymus,0,0
alveolar macrophage,FACS,Thymus,4,0
alveolar macrophage,FACS,Thymus,5,0
alveolar macrophage,FACS,Thymus,6,0
alveolar macrophage,FACS,Thymus,9,0
alveolar macrophage,FACS,Thymus,10,0
alveolar macrophage,FACS,Thymus,11,0
alveolar macrophage,FACS,Thymus,14,0
alveolar macrophage,FACS,Thymus,17,0
alveolar macrophage,FACS,Thymus,18,0
alveolar macrophage,FACS,Thymus,19,0
alveolar macrophage,FACS,Thymus,20,0
alveolar macrophage,FACS,Thymus,23,0
alveolar macrophage,FACS,Thymus,24,0
alveolar macrophage,FACS,Thymus,28,0
alveolar macrophage,FACS,Thymus,31,0
alveolar macrophage,FACS,Thymus,32,0
alveolar macrophage,FACS,Thymus,34,0
alveolar macrophage,FACS,Thymus,39,0
alveolar macrophage,FACS,Thymus,43,0
alveolar macrophage,FACS,Thymus,44,0
alveolar macrophage,droplet,Kidney,0,0
alveolar macrophage,droplet,Kidney,4,0
alveolar macrophage,droplet,Kidney,5,0
alveolar macrophage,droplet,Kidney,6,0
alveolar macrophage,droplet,Kidney,9,0
alveolar macrophage,droplet,Kidney,10,0
alveolar macrophage,droplet,Kidney,11,0
alveolar macrophage,droplet,Kidney,14,0
alveolar macrophage,droplet,Kidney,17,0
alveolar macrophage,droplet,Kidney,18,0
alveolar macrophage,droplet,Kidney,19,0
alveolar macrophage,droplet,Kidney,20,0
alveolar macrophage,droplet,Kidney,23,0
alveolar macrophage,droplet,Kidney,24,0
alveolar macrophage,droplet,Kidney,28,0
alveolar macrophage,droplet,Kidney,31,0
alveolar macrophage,droplet,Kidney,32,0
alveolar macrophage,droplet,Kidney,34,0
alveolar macrophage,droplet,Kidney,39,0
alveolar macrophage,droplet,Kidney,43,0
alveolar macrophage,droplet,Kidney,44,0
alveolar macrophage,droplet,Limb_Muscle,0,0
alveolar macrophage,droplet,Limb_Muscle,4,0
alveolar macrophage,droplet,Limb_Muscle,5,0
alveolar macrophage,droplet,Limb_Muscle,6,0
alveolar macrophage,droplet,Limb_Muscle,9,0
alveolar macrophage,droplet,Limb_Muscle,10,0
alveolar macrophage,droplet,Limb_Muscle,11,0
alveolar macrophage,droplet,Limb_Muscle,14,0
alveolar macrophage,droplet,Limb_Muscle,17,0
alveolar macrophage,droplet,Limb_Muscle,18,0
alveolar macrophage,droplet,Limb_Muscle,19,0
alveolar macrophage,droplet,Limb_Muscle,20,0
alveolar macrophage,droplet,Limb_Muscle,23,0
alveolar macrophage,droplet,Limb_Muscle,24,0
alveolar macrophage,droplet,Limb_Muscle,28,0
alveolar macrophage,droplet,Limb_Muscle,31,0
alveolar macrophage,droplet,Limb_Muscle,32,0
alveolar macrophage,droplet,Limb_Muscle,34,0
alveolar macrophage,droplet,Limb_Muscle,39,0
alveolar macrophage,droplet,Limb_Muscle,43,0
alveolar macrophage,droplet,Limb_Muscle,44,0
alveolar macrophage,droplet,Lung,0,0
alveolar macrophage,droplet,Lung,4,0
alveolar macrophage,droplet,Lung,5,0
alveolar macrophage,droplet,Lung,6,0
alveolar macrophage,droplet,Lung,9,0
alveolar macrophage,droplet,Lung,10,0
alveolar macrophage,droplet,Lung,11,0
alveolar macrophage,droplet,Lung,14,0
alveolar macrophage,droplet,Lung,17,0
alveolar macrophage,droplet,Lung,18,0
alveolar macrophage,droplet,Lung,19,0
alveolar macrophage,droplet,Lung,20,0
alveolar macrophage,droplet,Lung,23,0
alveolar macrophage,droplet,Lung,24,0
alveolar macrophage,droplet,Lung,28,0
alveolar macrophage,droplet,Lung,31,0
alveolar macrophage,droplet,Lung,32,0
alveolar macrophage,droplet,Lung,34,0
alveolar macrophage,droplet,Lung,39,345
alveolar macrophage,droplet,Lung,43,0
alveolar macrophage,droplet,Lung,44,0
alveolar macrophage,droplet,Mammary_Gland,0,0
alveolar macrophage,droplet,Mammary_Gland,4,0
alveolar macrophage,droplet,Mammary_Gland,5,0
alveolar macrophage,droplet,Mammary_Gland,6,0
alveolar macrophage,droplet,Mammary_Gland,9,0
alveolar macrophage,droplet,Mammary_Gland,10,0
alveolar macrophage,droplet,Mammary_Gland,11,0
alveolar macrophage,droplet,Mammary_Gland,14,0
alveolar macrophage,droplet,Mammary_Gland,17,0
alveolar macrophage,droplet,Mammary_Gland,18,0
alveolar macrophage,droplet,Mammary_Gland,19,0
alveolar macrophage,droplet,Mammary_Gland,20,0
alveolar macrophage,droplet,Mammary_Gland,23,0
alveolar macrophage,droplet,Mammary_Gland,24,0
alveolar macrophage,droplet,Mammary_Gland,28,0
alveolar macrophage,droplet,Mammary_Gland,31,0
alveolar macrophage,droplet,Mammary_Gland,32,0
alveolar macrophage,droplet,Mammary_Gland,34,0
alveolar macrophage,droplet,Mammary_Gland,39,0
alveolar macrophage,droplet,Mammary_Gland,43,0
alveolar macrophage,droplet,Mammary_Gland,44,0
alveolar macrophage,droplet,Marrow,0,0
alveolar macrophage,droplet,Marrow,4,0
alveolar macrophage,droplet,Marrow,5,0
alveolar macrophage,droplet,Marrow,6,0
alveolar macrophage,droplet,Marrow,9,0
alveolar macrophage,droplet,Marrow,10,0
alveolar macrophage,droplet,Marrow,11,0
alveolar macrophage,droplet,Marrow,14,0
alveolar macrophage,droplet,Marrow,17,0
alveolar macrophage,droplet,Marrow,18,0
alveolar macrophage,droplet,Marrow,19,0
alveolar macrophage,droplet,Marrow,20,0
alveolar macrophage,droplet,Marrow,23,0
alveolar macrophage,droplet,Marrow,24,0
alveolar macrophage,droplet,Marrow,28,0
alveolar macrophage,droplet,Marrow,31,0
alveolar macrophage,droplet,Marrow,32,0
alveolar macrophage,droplet,Marrow,34,0
alveolar macrophage,droplet,Marrow,39,0
alveolar macrophage,droplet,Marrow,43,0
alveolar macrophage,droplet,Marrow,44,0
alveolar macrophage,droplet,Spleen,0,0
alveolar macrophage,droplet,Spleen,4,0
alveolar macrophage,droplet,Spleen,5,0
alveolar macrophage,droplet,Spleen,6,0
alveolar macrophage,droplet,Spleen,9,0
alveolar macrophage,droplet,Spleen,10,0
alveolar macrophage,droplet,Spleen,11,0
alveolar macrophage,droplet,Spleen,14,0
alveolar macrophage,droplet,Spleen,17,0
alveolar macrophage,droplet,Spleen,18,0
alveolar macrophage,droplet,Spleen,19,0
alveolar macrophage,droplet,Spleen,20,0
alveolar macrophage,droplet,Spleen,23,0
alveolar macrophage,droplet,Spleen,24,0
alveolar macrophage,droplet,Spleen,28,0
alveolar macrophage,droplet,Spleen,31,0
alveolar macrophage,droplet,Spleen,32,0
alveolar macrophage,droplet,Spleen,34,0
alveolar macrophage,droplet,Spleen,39,0
alveolar macrophage,droplet,Spleen,43,0
alveolar macrophage,droplet,Spleen,44,0
alveolar macrophage,droplet,Thymus,0,0
alveolar macrophage,droplet,Thymus,4,0
alveolar macrophage,droplet,Thymus,5,0
alveolar macrophage,droplet,Thymus,6,0
alveolar macrophage,droplet,Thymus,9,0
alveolar macrophage,droplet,Thymus,10,0
alveolar macrophage,droplet,Thymus,11,0
alveolar macrophage,droplet,Thymus,14,0
alveolar macrophage,droplet,Thymus,17,0
alveolar macrophage,droplet,Thymus,18,0
alveolar macrophage,droplet,Thymus,19,0
alveolar macrophage,droplet,Thymus,20,0
alveolar macrophage,droplet,Thymus,23,0
alveolar macrophage,droplet,Thymus,24,0
alveolar macrophage,droplet,Thymus,28,0
alveolar macrophage,droplet,Thymus,31,0
alveolar macrophage,droplet,Thymus,32,0
alveolar macrophage,droplet,Thymus,34,0
alveolar macrophage,droplet,Thymus,39,0
alveolar macrophage,droplet,Thymus,43,0
alveolar macrophage,droplet,Thymus,44,0
immature T cell,FACS,Kidney,0,0
immature T cell,FACS,Kidney,4,0
immature T cell,FACS,Kidney,5,0
immature T cell,FACS,Kidney,6,0
immature T cell,FACS,Kidney,9,0
immature T cell,FACS,Kidney,10,0
immature T cell,FACS,Kidney,11,0
immature T cell,FACS,Kidney,14,0
immature T cell,FACS,Kidney,17,0
immature T cell,FACS,Kidney,18,0
immature T cell,FACS,Kidney,19,0
immature T cell,FACS,Kidney,20,0
immature T cell,FACS,Kidney,23,0
immature T cell,FACS,Kidney,24,0
immature T cell,FACS,Kidney,28,0
immature T cell,FACS,Kidney,31,0
immature T cell,FACS,Kidney,32,0
immature T cell,FACS,Kidney,34,0
immature T cell,FACS,Kidney,39,0
immature T cell,FACS,Kidney,43,0
immature T cell,FACS,Kidney,44,0
immature T cell,FACS,Limb_Muscle,0,0
immature T cell,FACS,Limb_Muscle,4,0
immature T cell,FACS,Limb_Muscle,5,0
immature T cell,FACS,Limb_Muscle,6,0
immature T cell,FACS,Limb_Muscle,9,0
immature T cell,FACS,Limb_Muscle,10,0
immature T cell,FACS,Limb_Muscle,11,0
immature T cell,FACS,Limb_Muscle,14,0
immature T cell,FACS,Limb_Muscle,17,0
immature T cell,FACS,Limb_Muscle,18,0
immature T cell,FACS,Limb_Muscle,19,0
immature T cell,FACS,Limb_Muscle,20,0
immature T cell,FACS,Limb_Muscle,23,0
immature T cell,FACS,Limb_Muscle,24,0
immature T cell,FACS,Limb_Muscle,28,0
immature T cell,FACS,Limb_Muscle,31,0
immature T cell,FACS,Limb_Muscle,32,0
immature T cell,FACS,Limb_Muscle,34,0
immature T cell,FACS,Limb_Muscle,39,0
immature T cell,FACS,Limb_Muscle,43,0
immature T cell,FACS,Limb_Muscle,44,0
immature T cell,FACS,Lung,0,0
immature T cell,FACS,Lung,4,0
immature T cell,FACS,Lung,5,0
immature T cell,FACS,Lung,6,0
immature T cell,FACS,Lung,9,0
immature T cell,FACS,Lung,10,0
immature T cell,FACS,Lung,11,0
immature T cell,FACS,Lung,14,0
immature T cell,FACS,Lung,17,0
immature T cell,FACS,Lung,18,0
immature T cell,FACS,Lung,19,0
immature T cell,FACS,Lung,20,0
immature T cell,FACS,Lung,23,0
immature T cell,FACS,Lung,24,0
immature T cell,FACS,Lung,28,0
immature T cell,FACS,Lung,31,0
immature T cell,FACS,Lung,32,0
immature T cell,FACS,Lung,34,0
immature T cell,FACS,Lung,39,0
immature T cell,FACS,Lung,43,0
immature T cell,FACS,Lung,44,0
immature T cell,FACS,Mammary_Gland,0,0
immature T cell,FACS,Mammary_Gland,4,0
immature T cell,FACS,Mammary_Gland,5,0
immature T cell,FACS,Mammary_Gland,6,0
immature T cell,FACS,Mammary_Gland,9,0
immature T cell,FACS,Mammary_Gland,10,0
immature T cell,FACS,Mammary_Gland,11,0
immature T cell,FACS,Mammary_Gland,14,0
immature T cell,FACS,Mammary_Gland,17,0
immature T cell,FACS,Mammary_Gland,18,0
immature T cell,FACS,Mammary_Gland,19,0
immature T cell,FACS,Mammary_Gland,20,0
immature T cell,FACS,Mammary_Gland,23,0
immature T cell,FACS,Mammary_Gland,24,0
immature T cell,FACS,Mammary_Gland,28,0
immature T cell,FACS,Mammary_Gland,31,0
immature T cell,FACS,Mammary_Gland,32,0
immature T cell,FACS,Mammary_Gland,34,0
immature T cell,FACS,Mammary_Gland,39,0
immature T cell,FACS,Mammary_Gland,43,0
immature T cell,FACS,Mammary_Gland,44,0
immature T cell,FACS,Marrow,0,0
immature T cell,FACS,Marrow,4,0
immature T cell,FACS,Marrow,5,0
immature T cell,FACS,Marrow,6,0
immature T cell,FACS,Marrow,9,0
immature T cell,FACS,Marrow,10,0
immature T cell,FACS,Marrow,11,0
immature T cell,FACS,Marrow,14,0
immature T cell,FACS,Marrow,17,0
immature T cell,FACS,Marrow,18,0
immature T cell,FACS,Marrow,19,0
immature T cell,FACS,Marrow,20,0
immature T cell,FACS,Marrow,23,0
immature T cell,FACS,Marrow,24,0
immature T cell,FACS,Marrow,28,0
immature T cell,FACS,Marrow,31,0
immature T cell,FACS,Marrow,32,0
immature T cell,FACS,Marrow,34,0
immature T cell,FACS,Marrow,39,0
immature T cell,FACS,Marrow,43,0
immature T cell,FACS,Marrow,44,0
immature T cell,FACS,Spleen,0,0
immature T cell,FACS,Spleen,4,0
immature T cell,FACS,Spleen,5,0
immature T cell,FACS,Spleen,6,0
immature T cell,FACS,Spleen,9,0
immature T cell,FACS,Spleen,10,0
immature T cell,FACS,Spleen,11,0
immature T cell,FACS,Spleen,14,0
immature T cell,FACS,Spleen,17,0
immature T cell,FACS,Spleen,18,0
immature T cell,FACS,Spleen,19,0
immature T cell,FACS,Spleen,20,0
immature T cell,FACS,Spleen,23,0
immature T cell,FACS,Spleen,24,0
immature T cell,FACS,Spleen,28,0
immature T cell,FACS,Spleen,31,0
immature T cell,FACS,Spleen,32,0
immature T cell,FACS,Spleen,34,0
immature T cell,FACS,Spleen,39,0
immature T cell,FACS,Spleen,43,0
immature T cell,FACS,Spleen,44,0
immature T cell,FACS,Thymus,0,0
immature T cell,FACS,Thymus,4,0
immature T cell,FACS,Thymus,5,0
immature T cell,FACS,Thymus,6,0
immature T cell,FACS,Thymus,9,0
immature T cell,FACS,Thymus,10,0
immature T cell,FACS,Thymus,11,0
immature T cell,FACS,Thymus,14,0
immature T cell,FACS,Thymus,17,0
immature T cell,FACS,Thymus,18,0
immature T cell,FACS,Thymus,19,0
immature T cell,FACS,Thymus,20,0
immature T cell,FACS,Thymus,23,0
immature T cell,FACS,Thymus,24,0
immature T cell,FACS,Thymus,28,0
immature T cell,FACS,Thymus,31,0
immature T cell,FACS,Thymus,32,0
immature T cell,FACS,Thymus,34,0
immature T cell,FACS,Thymus,39,0
immature T cell,FACS,Thymus,43,0
immature T cell,FACS,Thymus,44,0
immature T cell,droplet,Kidney,0,0
immature T cell,droplet,Kidney,4,0
immature T cell,droplet,Kidney,5,0
immature T cell,droplet,Kidney,6,0
immature T cell,droplet,Kidney,9,0
immature T cell,droplet,Kidney,10,0
immature T cell,droplet,Kidney,11,0
immature T cell,droplet,Kidney,14,0
immature T cell,droplet,Kidney,17,0
immature T cell,droplet,Kidney,18,0
immature T cell,droplet,Kidney,19,0
immature T cell,droplet,Kidney,20,0
immature T cell,droplet,Kidney,23,0
immature T cell,droplet,Kidney,24,0
immature T cell,droplet,Kidney,28,0
immature T cell,droplet,Kidney,31,0
immature T cell,droplet,Kidney,32,0
immature T cell,droplet,Kidney,34,0
immature T cell,droplet,Kidney,39,0
immature T cell,droplet,Kidney,43,0
immature T cell,droplet,Kidney,44,0
immature T cell,droplet,Limb_Muscle,0,0
immature T cell,droplet,Limb_Muscle,4,0
immature T cell,droplet,Limb_Muscle,5,0
immature T cell,droplet,Limb_Muscle,6,0
immature T cell,droplet,Limb_Muscle,9,0
immature T cell,droplet,Limb_Muscle,10,0
immature T cell,droplet,Limb_Muscle,11,0
immature T cell,droplet,Limb_Muscle,14,0
immature T cell,droplet,Limb_Muscle,17,0
immature T cell,droplet,Limb_Muscle,18,0
immature T cell,droplet,Limb_Muscle,19,0
immature T cell,droplet,Limb_Muscle,20,0
immature T cell,droplet,Limb_Muscle,23,0
immature T cell,droplet,Limb_Muscle,24,0
immature T cell,droplet,Limb_Muscle,28,0
immature T cell,droplet,Limb_Muscle,31,0
immature T cell,droplet,Limb_Muscle,32,0
immature T cell,droplet,Limb_Muscle,34,0
immature T cell,droplet,Limb_Muscle,39,0
immature T cell,droplet,Limb_Muscle,43,0
immature T cell,droplet,Limb_Muscle,44,0
immature T cell,droplet,Lung,0,0
immature T cell,droplet,Lung,4,0
immature T cell,droplet,Lung,5,0
immature T cell,droplet,Lung,6,0
immature T cell,droplet,Lung,9,0
immature T cell,droplet,Lung,10,0
immature T cell,droplet,Lung,11,0
immature T cell,droplet,Lung,14,0
immature T cell,droplet,Lung,17,0
immature T cell,droplet,Lung,18,0
immature T cell,droplet,Lung,19,0
immature T cell,droplet,Lung,20,0
immature T cell,droplet,Lung,23,0
immature T cell,droplet,Lung,24,0
immature T cell,droplet,Lung,28,0
immature T cell,droplet,Lung,31,0
immature T cell,droplet,Lung,32,0
immature T cell,droplet,Lung,34,0
immature T cell,droplet,Lung,39,0
immature T cell,droplet,Lung,43,0
immature T cell,droplet,Lung,44,0
immature T cell,droplet,Mammary_Gland,0,0
immature T cell,droplet,Mammary_Gland,4,0
immature T cell,droplet,Mammary_Gland,5,0
immature T cell,droplet,Mammary_Gland,6,0
immature T cell,droplet,Mammary_Gland,9,0
immature T cell,droplet,Mammary_Gland,10,0
immature T cell,droplet,Mammary_Gland,11,0
immature T cell,droplet,Mammary_Gland,14,0
immature T cell,droplet,Mammary_Gland,17,0
immature T cell,droplet,Mammary_Gland,18,0
immature T cell,droplet,Mammary_Gland,19,0
immature T cell,droplet,Mammary_Gland,20,0
immature T cell,droplet,Mammary_Gland,23,0
immature T cell,droplet,Mammary_Gland,24,0
immature T cell,droplet,Mammary_Gland,28,0
immature T cell,droplet,Mammary_Gland,31,0
immature T cell,droplet,Mammary_Gland,32,0
immature T cell,droplet,Mammary_Gland,34,0
immature T cell,droplet,Mammary_Gland,39,0
immature T cell,droplet,Mammary_Gland,43,0
immature T cell,droplet,Mammary_Gland,44,0
immature T cell,droplet,Marrow,0,0
immature T cell,droplet,Marrow,4,0
immature T cell,droplet,Marrow,5,0
immature T cell,droplet,Marrow,6,0
immature T cell,droplet,Marrow,9,0
immature T cell,droplet,Marrow,10,0
immature T cell,droplet,Marrow,11,0
immature T cell,droplet,Marrow,14,0
immature T cell,droplet,Marrow,17,0
immature T cell,droplet,Marrow,18,0
immature T cell,droplet,Marrow,19,0
immature T cell,droplet,Marrow,20,0
immature T cell,droplet,Marrow,23,0
immature T cell,droplet,Marrow,24,0
immature T cell,droplet,Marrow,28,0
immature T cell,droplet,Marrow,31,0
immature T cell,droplet,Marrow,32,0
immature T cell,droplet,Marrow,34,0
immature T cell,droplet,Marrow,39,0
immature T cell,droplet,Marrow,43,0
immature T cell,droplet,Marrow,44,0
immature T cell,droplet,Spleen,0,0
immature T cell,droplet,Spleen,4,0
immature T cell,droplet,Spleen,5,0
immature T cell,droplet,Spleen,6,0
immature T cell,droplet,Spleen,9,0
immature T cell,droplet,Spleen,10,0
immature T cell,droplet,Spleen,11,0
immature T cell,droplet,Spleen,14,0
immature T cell,droplet,Spleen,17,0
immature T cell,droplet,Spleen,18,0
immature T cell,droplet,Spleen,19,0
immature T cell,droplet,Spleen,20,0
immature T cell,droplet,Spleen,23,0
immature T cell,droplet,Spleen,24,0
immature T cell,droplet,Spleen,28,0
immature T cell,droplet,Spleen,31,0
immature T cell,droplet,Spleen,32,0
immature T cell,droplet,Spleen,34,0
immature T cell,droplet,Spleen,39,0
immature T cell,droplet,Spleen,43,0
immature T cell,droplet,Spleen,44,0
immature T cell,droplet,Thymus,0,0
immature T cell,droplet,Thymus,4,359
immature T cell,droplet,Thymus,5,0
immature T cell,droplet,Thymus,6,0
immature T cell,droplet,Thymus,9,0
immature T cell,droplet,Thymus,10,0
immature T cell,droplet,Thymus,11,20
immature T cell,droplet,Thymus,14,0
immature T cell,droplet,Thymus,17,0
immature T cell,droplet,Thymus,18,0
immature T cell,droplet,Thymus,19,0
immature T cell,droplet,Thymus,20,975
immature T cell,droplet,Thymus,23,0
immature T cell,droplet,Thymus,24,0
immature T cell,droplet,Thymus,28,0
immature T cell,droplet,Thymus,31,0
immature T cell,droplet,Thymus,32,0
immature T cell,droplet,Thymus,34,0
immature T cell,droplet,Thymus,39,0
immature T cell,droplet,Thymus,43,0
immature T cell,droplet,Thymus,44,0
macrophage,FACS,Kidney,0,0
macrophage,FACS,Kidney,4,0
macrophage,FACS,Kidney,5,0
macrophage,FACS,Kidney,6,0
macrophage,FACS,Kidney,9,0
macrophage,FACS,Kidney,10,0
macrophage,FACS,Kidney,11,0
macrophage,FACS,Kidney,14,0
macrophage,FACS,Kidney,17,0
macrophage,FACS,Kidney,18,0
macrophage,FACS,Kidney,19,0
macrophage,FACS,Kidney,20,0
macrophage,FACS,Kidney,23,0
macrophage,FACS,Kidney,24,0
macrophage,FACS,Kidney,28,0
macrophage,FACS,Kidney,31,0
macrophage,FACS,Kidney,32,0
macrophage,FACS,Kidney,34,0
macrophage,FACS,Kidney,39,0
macrophage,FACS,Kidney,43,0
macrophage,FACS,Kidney,44,0
macrophage,FACS,Limb_Muscle,0,0
macrophage,FACS,Limb_Muscle,4,0
macrophage,FACS,Limb_Muscle,5,0
macrophage,FACS,Limb_Muscle,6,37
macrophage,FACS,Limb_Muscle,9,0
macrophage,FACS,Limb_Muscle,10,0
macrophage,FACS,Limb_Muscle,11,0
macrophage,FACS,Limb_Muscle,14,0
macrophage,FACS,Limb_Muscle,17,0
macrophage,FACS,Limb_Muscle,18,1
macrophage,FACS,Limb_Muscle,19,0
macrophage,FACS,Limb_Muscle,20,0
macrophage,FACS,Limb_Muscle,23,2
macrophage,FACS,Limb_Muscle,24,2
macrophage,FACS,Limb_Muscle,28,1
macrophage,FACS,Limb_Muscle,31,2
macrophage,FACS,Limb_Muscle,32,0
macrophage,FACS,Limb_Muscle,34,0
macrophage,FACS,Limb_Muscle,39,0
macrophage,FACS,Limb_Muscle,43,0
macrophage,FACS,Limb_Muscle,44,0
macrophage,FACS,Lung,0,0
macrophage,FACS,Lung,4,0
macrophage,FACS,Lung,5,0
macrophage,FACS,Lung,6,0
macrophage,FACS,Lung,9,0
macrophage,FACS,Lung,10,0
macrophage,FACS,Lung,11,0
macrophage,FACS,Lung,14,0
macrophage,FACS,Lung,17,0
macrophage,FACS,Lung,18,0
macrophage,FACS,Lung,19,0
macrophage,FACS,Lung,20,0
macrophage,FACS,Lung,23,0
macrophage,FACS,Lung,24,0
macrophage,FACS,Lung,28,0
macrophage,FACS,Lung,31,0
macrophage,FACS,Lung,32,0
macrophage,FACS,Lung,34,0
macrophage,FACS,Lung,39,0
macrophage,FACS,Lung,43,0
macrophage,FACS,Lung,44,0
macrophage,FACS,Mammary_Gland,0,0
macrophage,FACS,Mammary_Gland,4,0
macrophage,FACS,Mammary_Gland,5,0
macrophage,FACS,Mammary_Gland,6,0
macrophage,FACS,Mammary_Gland,9,0
macrophage,FACS,Mammary_Gland,10,0
macrophage,FACS,Mammary_Gland,11,0
macrophage,FACS,Mammary_Gland,14,0
macrophage,FACS,Mammary_Gland,17,0
macrophage,FACS,Mammary_Gland,18,0
macrophage,FACS,Mammary_Gland,19,0
macrophage,FACS,Mammary_Gland,20,0
macrophage,FACS,Mammary_Gland,23,0
macrophage,FACS,Mammary_Gland,24,0
macrophage,FACS,Mammary_Gland,28,0
macrophage,FACS,Mammary_Gland,31,0
macrophage,FACS,Mammary_Gland,32,0
macrophage,FACS,Mammary_Gland,34,0
macrophage,FACS,Mammary_Gland,39,0
macrophage,FACS,Mammary_Gland,43,0
macrophage,FACS,Mammary_Gland,44,0
macrophage,FACS,Marrow,0,0
